Date,PM2.5,Site Name,CBSA_NAME,STATE,COUNTY,Month
2020-03-05,11.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-06,4.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-07,2.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-08,4.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-09,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-10,4.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-11,3.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-12,5.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-13,8.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-14,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-15,1.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-16,1.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-17,5.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-18,4.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-19,5.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-20,5.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-21,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-22,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-23,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-24,2.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-25,1.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-26,2.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-27,7.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-28,7.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-29,4.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-30,1.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-03-31,1.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,3
2020-04-01,4.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-02,2.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-03,3.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-04,1.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-05,2.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-06,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-07,2.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-08,3.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-09,3.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-10,4.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-11,4.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-12,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-13,10.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-14,5.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-15,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-16,4.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-17,4.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-18,4.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-19,5.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-20,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-21,4.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-22,3.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-23,4.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-24,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-25,5.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-26,4.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-27,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-28,3.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-29,2.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-04-30,4.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,4
2020-05-01,4.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-02,3.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-03,3.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-04,3.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-05,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-06,4.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-07,4.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-08,6.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-09,8.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-10,6.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-11,4.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-12,3.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-13,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-14,2.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-15,3.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-16,2.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-17,1.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-18,2.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-19,3.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-20,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-21,4.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-22,5.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-23,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-24,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-25,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-26,4.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-27,4.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-28,5.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-29,2.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-30,2.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-05-31,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,5
2020-06-01,4.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-02,5.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-03,6.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-04,7.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-05,6.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-06,4.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-07,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-08,2.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-09,3.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-10,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-11,2.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-12,3.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-13,2.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-14,1.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-15,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-16,5.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-17,2.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-18,3.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-19,7.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-20,6.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-21,5.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-22,7.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-23,6.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-24,7.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-25,6.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-26,6.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-27,5.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-28,8.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-29,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-06-30,6.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,6
2020-07-01,10.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-02,7.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-03,8.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-04,13.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-05,13.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-06,7.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-07,7.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-08,8.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-09,9.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-10,3.7,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-11,4.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-12,6.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-13,9.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-14,7.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-15,5.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-16,5.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-17,5.6,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-18,5.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-19,4.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-20,2.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-21,3.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-22,4.3,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
2020-07-23,4.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,7
